* This data was exported from the Dayton Audio Test System: DATS
*
D    	0	[mm]
Re   	5.743	[Ohms]
Fs   	394.3	[Hz]
Zm   	23.35	[Ohms]
BL   	0	[N/A]
Qms  	4.27
Qes  	1.393
Qts  	1.05
Vas  	0 	[liters]
L10k 	0.1171	[mH]
n0   	0	[%]
dBSPL  	0	[1W/1m]
Ms   	0	[grams]
Cms  	0	[mm/N]
*
*
Freq            Impedance       Phase
304.437    	11.389    	37.553    
313.358    	12.346    	37.720    
322.540    	13.504    	37.298    
331.991    	14.940    	36.021    
341.719    	16.601    	33.579    
351.732    	18.538    	29.400    
362.039    	20.350    	23.685    
372.647    	21.892    	16.333    
383.567    	22.924    	7.808    
394.806    	23.306    	-1.494    
406.375    	22.754    	-11.160    
418.282    	21.240    	-19.871    
430.539    	19.047    	-26.857    
443.155    	16.872    	-31.322    
456.140    	15.056    	-33.904    
469.506    	13.538    	-35.248    
483.264    	12.269    	-35.583    
497.424    	11.270    	-35.244    
512.000    	10.474    	-34.561    
527.003    	9.800    	-33.594    
542.445    	9.249    	-32.341    
558.340    	8.816    	-31.041    
574.701    	8.437    	-29.838    
591.541    	8.093    	-28.622    
608.874    	7.796    	-27.233    
626.715    	7.550    	-25.760    
645.080    	7.344    	-24.299    
663.982    	7.174    	-22.871    
683.438    	7.031    	-21.529    
703.464    	6.910    	-20.269    
724.077    	6.805    	-19.053    
745.294    	6.713    	-17.868    
767.133    	6.633    	-16.709    
789.612    	6.563    	-15.601    
812.749    	6.505    	-14.534    
836.565    	6.454    	-13.533    
861.078    	6.407    	-12.574    
886.309    	6.365    	-11.622    
912.280    	6.330    	-10.673    
939.012    	6.304    	-9.766    
966.527    	6.282    	-8.910    
994.849    	6.264    	-8.090    
1024.000    	6.249    	-7.285    
1054.005    	6.237    	-6.474    
1084.890    	6.230    	-5.701    
1116.680    	6.225    	-4.962    
1149.401    	6.222    	-4.237    
1183.081    	6.221    	-3.520    
1217.748    	6.223    	-2.817    
1253.431    	6.228    	-2.124    
1290.159    	6.236    	-1.429    
1327.964    	6.247    	-0.744    
